,sum,len
Mario Tessier,206403,38
Led Zeppelin,206359,8
Jon Crawley,206091,39
Spotted Moment bizarre,205162,51
Come on,204879,20
Amir,204832,24
CBC North,204401,39
NLE Choppa,204216,36
Zone Fulbe,204101,55
PastFactory,203611,37
Josée Boudreault,203410,32
Superhero Academy,203069,53
"Experience Kissimmee, Florida",201968,23
604 Now,201725,50
Grilled,201286,23
Hope For Wildlife,200249,57
Li e gostei.,200216,32
Hypelist,199979,29
Logo Designer,199919,30
شؤون إسلامية,199493,25
Les Cowboys Fringants,199467,25
QPASA,198906,46
The Pinnacle List,198694,75
Wes Barker,198371,1
Aliança pelo Brasil São Paulo,198017,20
The Georgia Straight,197993,59
Tamazgha Monde TV,197618,23
Routiers Français au Canada,197274,14
Mamá gurú,197249,41
CBC Manitoba,197112,48
Yasser K,197109,20
Live MTL,196938,47
Ay Güey,195472,31
"Click ""like"" if you love your dog",194836,16
Royal Canadian Air Force,194530,38
Art by Andi,194424,19
Politikal Memes,193990,42
Imed lakhdara,193957,11
Canada Action,193664,23
CHEK News,193506,55
Puto Prata,192445,35
Sylvain Cossette,192339,18
Martin Matte,192022,12
La SST sans censure,191612,35
Inspiring and Positive Quotes,191252,70
Murdoch Mysteries,190836,42
Lil Baby,190665,33
Motocross Qc,190336,19
"WKND 91,9",190186,16
Memesita,190076,15
Wet'suwet'en Access Point on Gidimt'en Territory,189486,44
Boxing is Life,189044,7
Cocinando Con Reina,188755,46
Saint Rafqa Lebanon,188469,65
Useless Duck Company,188409,1
DOBERMAN PINSCHER,188208,47
Rambha,188143,11
Kim's Diary,187843,27
Jucee Froot,187736,28
Deux minutes de pause,187564,45
Jihad Watch,187072,62
Jésus Christ Seul médiateur avec Dieu par le sang de son alliance,186784,25
Adjrad djugurta - أجراد يوغرطة,186446,2
Niagara_411,186159,55
PC Optimum,185805,7
Cubanos Por El Mundo,185678,8
88rising,185032,32
Blinkco,184626,53
Dariush Eghbali,184249,24
Marc Fitt,183987,35
Stolen From Somewhere,183617,33
CBC Yukon,182523,16
OMNI Punjabi,182308,18
"Band set fans, Chalakudy, Thrissur",182277,11
New England Patriots Fan Club,182183,50
Elon Musk Quotes & News,182153,54
Occupy Canada,182070,37
Off Grid Life,182038,41
Debunk Inc,181947,55
موسوعة التاريخ الإسلامي,181615,38
ICI Estrie,180860,31
Georges St-Pierre,180731,30
Salina Shelly,179842,45
Maxi,179829,19
Kevin Parent,179745,42
Controle Dois,179383,50
Young Studios,179075,44
Cheche Toirac,178851,33
Global Calgary,177873,45
NAV,177525,43
Huevocartoon,177436,12
TwistedSifter,177222,25
OMGawk.com,177124,10
Skepticus,177114,10
Level5 Tools,176743,17
HMO Tivi,175941,19
Suzanne Husseini,175667,25
워너뮤직코리아 Warner Music Korea,175315,30
The Godless and Irreligious,174800,57
Vivid Vision,174579,58
DholCentral,173789,4
Canadian Armed Forces,173292,30
Natives Be Like,173265,44
Look du jour,172663,17
We Enjoy Camping,172017,28
7 jours sur Terre,171650,29
Know the Quran,171456,55
Soy Rebecca,171409,42
Usman Nadeem,170982,46
"Like This If You Like, Love, or Miss Someone",170723,2
Meek Mill,170416,19
CHYM 96.7,170051,5
YourAlberta (Government of Alberta),169704,37
Marine Mammal Rescue Centre,169568,13
Mountain Media,169179,47
Coalition of Concerned Manufacturers & Businesses of Canada,168885,45
Words Power,168876,52
Laurent Duvernay-Tardif,168685,18
Worst Buy,168045,50
Jatinder Dhiman,167947,12
Brittlestar,167787,23
Vivre avec la pensée positive,167724,35
Elise Gravel - français,167691,24
Etienne Boulay,167508,15
Dank Meme Federation,167120,3
Deer Blinds & Fishing Lines,166876,31
François Charron - Page officielle,166704,33
𝕯𝖗𝖚𝖌,165732,18
I Will Support Justin Forever,165706,36
CBC Saskatoon,165520,15
Pierre Hébert,165515,15
100 करोड़ हिन्दुओ एक हो जाओ.,164839,32
Old Stock Canadian,164652,35
Cree-ation LOLz,164621,22
Fruiter,164241,48
Tim Hortons,163805,16
Nova Scotia Spirit Co.,163753,5
Tegan and Sara,163344,40
TamilAC,163070,5
FINNEAS,162877,28
Tasavvuf ve biz,162578,8
6LACK,162364,20
Michael Cooper,162023,11
Brian Jean,161918,35
Gabriel Nadeau-Dubois,161904,33
Espace Geek,161348,11
Compilation2020,161044,20
Rosette,161029,26
Alfaaz by ScoopNow,160842,11
Canadian,160239,25
Showbizz.net,160149,44
Mothers,160083,47
CHCH TV,159682,49
Seviria Cosplay,159602,43
Sophia Radisch,159428,14
Maxime Bernier,159182,55
Liberal Party of Canada | Parti libéral du Canada,159014,45
CBC New Brunswick,158831,41
Gun Rights Matter,158704,39
Gabby Barrett,158535,33
SwearNet,158034,33
Mike Shinoda,157911,21
CBC Saskatchewan,157396,21
CTV Toronto,157219,36
Yo Viral,156959,29
Science Doesn't Care What You Believe,156792,34
Happy Hooligans,156782,29
Visual Capitalist,156364,24
Philippe Bond,155580,38
Momo Traore,155369,40
Black people who invest in the stock market,155269,3
Garry Sandhu,155226,14
Tones And I,155127,27
680 NEWS,155003,13
Vivons le moment présent,154945,24
Rafaa 156,154352,45
Black Skip Bayless,154291,23
Véronique Cloutier,154222,31
Mind Motivation,153242,39
Tol Leohood Robin Padilla number 1 Fan,153070,8
Qinni,152627,3
Mariana Mazza,152448,19
Cute Emergency,152054,21
Stoner Memes,152052,30
J'aime Canada,152026,28
Roshan Prince,151894,15
شهد الشمري,151768,9
Calgary Police Service,151714,33
EVOLUTION PLUS,151365,45
Derek Walter,151098,39
Government of British Columbia,150643,26
Saint Alexandra Healthcare Services,150603,21
Urvah Khan,150388,14
Hardcore Calabrese,150349,34
Total Pro Sports,150323,28
Learning Jungle Cambodia,150297,24
Putt Jattan De Driver Truckkan De,150292,16
آهنگهای ناب و اشعار زیبا,149688,31
Ayoye OMG,149171,46
Voice of Revival,149130,45
Canadian Coalition for Firearm Rights,148693,44
ZaidAliT,148270,3
Reachout Worship,148017,26
West Edmonton Mall,147653,8
The 80s & 90s Page,147595,20
Jayde Nicole Fitness,147534,22
Liverpoolfc Proud News&speculation&transfer,147369,37
Lil Char and the Gang,147062,22
Matt Ridley,146746,2
Government of Newfoundland and Labrador,146602,39
Train Your Probie,146534,43
Rebel News,146362,46
Clean Energy Canada,146278,43
Wasak Esports,146109,9
Bryan Baeumler,146039,28
François Morency,145995,15
NeginTV,145867,24
Meanwhile in Alberta,145855,14
Wikkid Wayz,145396,17
Jamaicans,144462,11
Tony Keo Page II,144399,7
Basag ka,144142,6
Secret Wood,144064,9
Aviation In Asia,143696,32
JForrest English,143440,18
HorslandFilms,142773,21
Toronto Pig Save,142601,23
Ministère de la Santé et des Services sociaux (MSSS),142475,18
Catholic News World,142239,18
طريق الرب,141898,29
HER Music,141777,41
Lindsay Wagner,141701,8
FX 101.9 TODAY'S COUNTRY,141216,15
Juste pour rire,141016,23
Madic 100 frontière,140736,25
"معا"" لإحياء سنة النبي ﷺ و سيرته العطرة",140655,13
Natnael Mekonnen,140614,45
Baljinder Kaur,140230,16
NabadiyoNolol.com,140212,35
CBC Radio,139888,7
The New HOT 89.9 FM,139804,37
Lyle Lovett,139708,17
Embassy of Canada in the Philippines,139414,10
Ｓｔｏｒｙｖｅｒｓｅ,139245,24
Vault Dude,138784,36
Dessine Bandé,138117,32
WestJet,137907,20
Ketoandorganic,137705,1
TheSportster,137057,42
Warner Music Thailand,136659,25
Dark Sense,136462,25
This needs a love button,135670,14
CTV Vancouver Island,134942,35
TiaBhuva.com,134725,10
VoyageVoyage,134373,9
Foals,134255,31
"Je suis le Chemin, La Vérité ET La VIE",134189,40
Myrène,133991,24
Jagraon,133567,6
Tony Beets,133434,34
Historias de asesinos seriales,133338,15
The Toronto Star,133298,36
Dan Lok,132900,36
Divya Raj,132706,2
"Fuck it, I’m going to hell",132500,8
Merrithew,132490,21
We Got This Covered,132484,26
Gino Chouinard,132175,14
980 CFPL News,131827,32
Bonsoir Bonsoir,130995,24
One Way Media,130500,26
Sûreté du Québec - page officielle.,130393,18
TROP CUTE [Fan-O-web],129804,35
Play Mizik,129460,39
CBC Nunavut,129459,39
Jonathan Roberge,129412,24
Canada Alyoum كندا اليوم,128815,28
JoJo,128626,33
District 31,128392,22
Yalla D7ak,128070,8
Royal Canadian Mounted Police in Manitoba,127856,31
Ginette Reno - Page Officielle,127762,22
Jennifer Nguyen,127464,36
Canada Remembers,127201,35
Cannabis Queens,127141,21
SONiC 102.9,127122,13
Trapboy Freddy,126887,25
Everything Cute,126871,11
Canabasse,126581,31
Anne of Green Gables,126419,31
David Suzuki Foundation,125593,28
Nova Scotia,125451,28
Cool Dad,125401,2
Crystal Glass,125276,1
SweetAmbs,125070,35
Gursewak Mann,124884,10
Unstoppable Mother,124348,16
Kafui Danku,124290,26
Trois fois par jour,124187,24
Spinnin' Records,123847,23
Shoppers Drug Mart,123768,6
Guyana Uncut & Exposed,123373,33
Gifts4Family,123232,6
A Life In Progress,123158,18
Hamid Ouchene chanteur kabyle,122658,19
Rumble Dogs,122645,10
My Attitude - My Life - My Rules,122397,29
United Conservative Movement Of Canada,122349,37
25stanley.com,122321,15
Dan Shaba,122289,3
Unitronic,122145,25
KPOP STYLES,122094,3
The Funny Stuff.,122056,12
إعلام العرب,121986,7
Bad Chad,121813,25
Radio Guyana International,121600,43
Framar,121527,4
BrianCuisine,121341,42
Canadian Medical Association,121320,8
Colin Mochrie,120829,11
Fairmont Banff Springs,120823,32
finances-africa.com,120448,19
NHL-Habs,120354,36
SRI NAADA,119782,41
The Royal Canadian Legion - National Headquarters,119475,24
Nicole Bordeleau,119255,26
Lise Dion page officielle,119239,7
MAJIC 100 FM,119148,21
Victorian Tea Time,119040,41
Alexandre Barrette,119025,24
Noor,118941,3
CTV Vancouver,118921,31
Pchaaakh TV - بشاخ تيفي,118809,7
Rev George Agyei Kwabi - Kofi Agyei,118482,42
BS page fans,118467,38
Gabriela Bee,118449,4
Alysha Newman,118220,33
BlaguesQuébec,117849,35
Nutaku Games,117607,31
Saskatchewan Rush,117527,1
Toronto Cow Save,117363,15
Katie Hopkins Fans Club,117233,39
Cool Skulls & Grim Reapers,117179,28
Lance Pekus,117149,3
Made in Alsace,116887,32
Rafael Nadal Fans,116547,29
Thomas Vijayan Photography,116489,4
حب الوطن من الايمان,116415,6
Richie Spice,116079,29
GULED SIMBA,115990,25
The Tenors,115780,6
Patricia Paquin,115252,16
Dr Modestine Carole Tchatchouang Yonzou,115044,19
TRIP NAP TRIP,114903,15
Chandigarh : The City Beautiful,114699,17
Brett Kissel,114373,21
Vacation Mode,114335,39
HERMANcomics,114315,23
Télé-Québec,114184,23
Randiala MGR,113901,6
Madirativhange,113594,22
Zaytoven Beatz,113414,3
Super Simple,113217,14
Sandeep Gill,112975,26
EAZYE,112931,4
QitQitak TV,112762,3
Kathleen Wynne for Prison,112433,19
Maman caféine,112427,19
Hippies for World Change,112320,30
Pregnancy & Newborns With Hot Moms Club,112219,32
WA ROHO a Carma Records Production,112183,13
Evolutionary Parenting,112070,7
LOL ComediHa,112063,17
Boonaa Mohammed,112032,31
بآوانم  سنه,111995,17
Guyana United,111802,32
Toronto Life,111552,17
V  Création,111542,36
The Ismaili,111533,33
CBC Docs,111104,16
Nerd Is The Word,111005,14
Dr engineer ent.,110938,27
Watch Life Unfiltered,110669,24
Plaisir et Bien-Être,110555,21
CTV Barrie,110341,28
Martin Deschamps,110219,13
Elliot Paris,110200,1
Ta vie en texto,110059,34
Banff & Lake Louise Tourism,109884,22
بلوقر ليبية,109859,28
BioWare,109762,25
KoalaQuiz Français,109546,28
Mike Ward,109524,20
Fugueuse,109379,30
طارق التائب,109364,18
Happy Tails Pet Resort and Camp,109237,31
Le Pharmachien,109231,10
TQ5 Media,109082,14
Spotted : Clients de marde,108861,19
Rudy Gobert,108800,24
Les Trouvailles de Sarah,108760,12
Birds of Prey,108752,18
Guylaine Tanguay,108649,29
Kara Lina,108279,20
Occupation Double,108246,12
HISTORY,108093,17
FORÇA PORTUGAL !,107972,22
Stormzy,107703,15
Gojira,107257,20
Thriving Tress,107170,2
Heart & Stroke,106815,18
My Simple Better Life,106546,26
Matthew Giuffrida,106115,18
Climate Save Movement,106104,23
Sheera Jasvir,105997,22
"Jasper, Canada",105984,35
Tout le monde en parle,105578,20
Jamie Lee Curtis,105492,20
Celestial Television Network,105485,20
Peace Compassion Love,105428,28
Kelly Creates Studio,105305,14
Louis T,105001,33
Miss My Mum,104956,12
omg blog,104707,2
Immigration Consultants of Canada Regulatory Council,104584,12
Esa Fungtastic,104409,5
Flo Rida,104304,33
Nonviolence & Peace,104243,30
Jean Coutu,104020,12
10/10,103973,21
Babies Are Beautiful,103596,26
CTV London,102917,28
Marc Dupré,102826,8
Arcadio Marcuzzi,102605,1
You Broke Me,102360,11
Paolo Ladino Internacional,102280,10
8Hay,102268,25
TVA Saguenay-Lac-St-Jean,102201,10
Faisal Kutty,102137,5
Canada One TV,101857,15
Alan Doyle,101534,23
North Star Adventures,101400,11
Iron Bull Strength,101272,5
Canada Memes,101241,8
Ice Skating World,101114,11
Tag quelqu'un qui,101108,23
INSH,101092,7
Humour sarcastique Qc,100762,21
Laughed so hard I wet myself,100689,26
Can-Am Off-Road,100298,16
Canada Latin Channel,100259,1
NBC Days of Our Lives Spoilers,100242,33
Amin Amir page-ka Ra'iga,100126,22
Hugo Lapointe,100066,29
Children are beautiful,99625,30
Kim's Convenience,99624,20
Batman Fans Live Here,99266,12
Embroiderers' Guild of Victoria,99195,35
Empty and Meaningless,99132,23
XFLOW,99012,4
Diafar Héma Ouattara,98933,13
Michelle Salt,98579,3
Fleetwood Mac,98555,4
intersectionelle,98417,21
التراث الطرابلسي Tripolitan Heritage,98310,24
CityNews Edmonton,98293,18
JDM Warriors,98106,28
Disciple Making International Ministry,97987,19
Daily Funny,97971,3
Catherine Côté,97920,22
49 Design,97629,18
True Americans,97273,8
Bonjour Québec,97196,20
Rock et Belles Oreilles ( RBO ),97093,1
Camera de nuit,97058,28
MSN Canada,97041,31
Dingwall Guitars,97033,28
Metro mon épicier,96870,13
Roch Voisine,96866,18
Dalai Lama Inner World,96712,3
Tehlka Media,96436,10
Ron James,96404,5
Éric Lapointe,96391,3
QW4RTZ,96333,9
MsMojo,96266,9
Bakugō Katsuki,96188,5
عصير جومكس,96049,10
Little Angel,96039,25
Funny Canadian Memes,96011,15
Sh Abdi Hersy,95802,23
Saskatoon StarPhoenix,95488,12
Greg Roe Trampoline,95435,2
Amrinder Gill,95423,13
Ｐｏｅｔｉｃ 正義,95264,19
Lecile Harris,95225,9
Opera Gallery,95056,7
Le Chef Cuisto,95015,24
What a Life,94935,5
Phil Jones,94859,7
Sexy Lingerie,94764,9
Depressed Waifu,94711,6
MQM Television,94611,10
Frases Para Soldadores,94183,24
Hilary Farr,94092,25
Ontario Provincial Police - Highway Safety Division,93868,15
Les Révoltés du Québec,93710,24
We'll Be Forever Loving Bob Marley,93622,23
windsoriteDOTca - windsor's hyper-local news & culture,93539,20
عبدالقادر القنين,93403,35
CTV Kitchener,93308,28
Topchefs Careers & Recruitment,93288,22
noliberals.ca,92650,30
Louis-José Houde,92473,14
RooferGirl,92455,21
The Plaid Zebra,92407,3
Les Archives de Radio-Canada,92378,18
"Nobody Dates Anymore, Everybody has a ''Thing"" with someone",91940,1
巧兒灶咖 - Ciao Kitchen,91665,26
Randy Bachman,91620,20
Sobeys,91484,11
Jillian Harris,91452,26
Jonathan Emile,91442,5
Spotted: STM,91422,16
Jai Baba Murad Shah JI,91392,23
insauga,91391,16
Lukas Graham,91323,17
Woke Wook,91187,20
Conversations with Kanwal,91099,8
ICI Saguenay–Lac-Saint-Jean,91046,24
KelownaNow,90869,26
Kinda Hanna كندا حنا,90860,15
Peter MacKay,90825,23
NEWS 1130,90766,22
Radio-Canada Arts,90634,20
Fils Révélés,90466,10
CTV Northern Ontario,90373,24
Lil Durk,90018,21
L'amour est dans le pré,89480,17
Avanshin Gaming,89262,21
Seeking Solace,89022,18
DIM MAK,88947,8
Goran Dragic,88848,14
Blue Rodeo,88773,16
Canadian Taxpayers Federation,88585,29
Earthsave Canada,88382,32
Johnny Reid,88292,18
Emily Batty,88266,20
Enough is Enough,88237,13
Shared Food,88110,21
BC Transportation and Infrastructure,88024,1
CTV Calgary,87827,26
Rickyisms,87689,19
"Historia, o której się nie mówi",87688,15
Alexandre Champagne,87654,22
GO HABS GO,87475,21
Rocky Mountaineer,87293,14
BC SPCA (BCSPCA),86973,28
Fresh,86937,3
CBC Olympics,86897,22
Le Tricheur,86703,34
Fondation CHU Sainte-Justine,86582,2
Virgin Radio Winnipeg,86412,7
Bell Cause pour la cause,86378,6
Khalil Kouskous,86215,3
Oilersnation,86179,25
ArtStation,85779,15
Patrick Groulx,85744,3
Wingolos Gaming,85625,23
Les Maisons,85366,22
Shenseea,85289,12
Hz.Muhammed Sevdalıları,85257,30
Di Riseborough-Intuitive Life Strategist,85256,13
Manon Massé,85255,19
The Thin Blue Line Canada,84997,3
Bored Tradesmen,84981,26
Paul Daraîche,84961,7
Global Regina,84859,10
NEFFEX,84803,7
Team Gushue,84584,20
Dreezy,84375,20
RDI Matin,84324,9
Vetnique Pet Products,84269,27
EA Youtube Updates and Policies,84195,4
Fairmont Chateau Lake Louise,84185,20
Le sac de chips,84014,18
Nightlife.ca,83859,16
Psych2Go,83819,15
Maa Vaishno Devi,83753,22
Arlene Dickinson,83692,21
Momming Hard,83555,22
CBC Prince Edward Island,83337,20
8Comics,83249,18
Nsubuga .A. Fahad,83085,25
Oilfield Job Shop,83000,7
Petro-Canada,82832,23
Muslim sisters,82802,20
Ontario Tornado Watch / Ontario Blizzard Watch,82654,21
Rebranding Middle Age,82528,23
"Rachael Harder, MP",82444,11
Alberta To The Point,82022,19
HollywoodPQ.com,81841,24
"Plus on est de fous, plus on lit",81659,1
Francés Vasseur,81462,13
Kamal Grewal,81425,16
Lennox Lewis,81406,18
Dinah Jane,81381,18
Banff Sunshine Village,81214,12
Ma Famille Mon Chaos,81164,13
Je Me Souviens,81116,24
Steele Mazda,80846,16
Caroline Codsi,80784,1
Best Damn Amazing and Crazy Videos,80642,1
Urgences-santé,80602,14
Gregory Charles,80597,7
Meanwhile in Saskatchewan,80543,21
Rythme 105.7,80510,13
Proverbes et Citations III,80426,27
DJ Rahaman Entertainment,80379,18
Islam Is The Way,80338,3
CKBW South Shore Radio,80332,2
Meteorologist Eddie Sheerr,80146,15
ICI Mauricie Centre-du-Québec,80138,19
Dr Anto Youssef,80097,12
Ottawa Muslim Association,79985,1
Montreal Gazette,79937,24
Team Canada / Équipe Canada,79890,12
Louis-David Jutras - Réalisateur,79744,2
Z99,79691,5
WWW.JESUS-IS-LORD-THE-WAY-THE-TRUTH-THE-LIFE.COM,79375,30
Ricky Forbes,79369,12
Fait au Québec,79228,11
JJ Malibu,79113,20
"107,3 Rouge",78946,22
Fleetwood Mac News,78920,17
Saskatoon Police Service,78762,18
CTV,78664,16
Durham Radio News,78626,18
The World Famous CFOX,78617,6
Kresnt,78316,9
Stéphane Laporte,78163,18
Grandpa Mason and his kittens,78104,10
ICI Tou.tv,78026,18
Lil Supa,77960,18
HGTV Canada,77732,19
Big Brother Canada,77638,6
Madmedia3,77452,11
Animal Justice,77173,7
Jimmy Sévigny,77144,20
Aretha Franklin,77092,12
Denjay Ayco,76874,1
Byg Byrd,76495,10
MD Channel Haiti,76257,13
عماد العصاد,76161,20
"Nicky, Mia & Bruno",76153,31
McMaster University,76122,11
PetSmart,76058,17
الفنانة ملاذ غازي,75893,7
Northern Cree,75885,10
Major's Mess Hall podcast,75730,7
Sophie Labelle,75724,23
Lexus Canada,75421,17
International Career Counselling Centre कमलादी Opp. KTM PLAZA ICCC,75415,4
Annie Villeneuve,75335,12
Christie Digital,75328,16
SupplyPost Newspaper,75149,1
Somos La Generacion Del Rapto.,75140,2
Kirandeep Kaur,75017,12
Les P'tits bonheurs de la vie.,74998,18
Cabela's,74944,14
Fouad 'Hoss' Abiad's Official Fan Page,74720,12
Warner Music Malaysia,74419,24
Ottawa Senators,74416,24
Alexandre Poulin - Page Officielle,74386,9
WOLF,74325,1
Kulbir Jhinjer,74143,13
Crystal Gemstones,74118,25
Original Shawarma,74102,2
Impact de Montréal,74028,19
Vancouver Whitecaps FC,73738,21
Psychology,73706,6
Earth Family Crystals,73627,10
TELUSfr,73455,7
Calgary Herald,73432,18
Chella Bonita,73336,1
RAJ GIRN,73319,18
Team Scheer,73295,20
J'avoue Que,73211,20
autoTRADER.ca,72966,15
Badgalriri,72872,10
C'est normal au Québec,72816,13
Jared Falk,72718,17
Rhea Santos,72704,17
TPL Moms,72631,19
Alexandra Stréliski,72511,14
Oombawka Design Crochet,72500,7
Stephen McNeil,72480,15
Pierre-Yves Roy-Desmarais,72393,9
Pouya,72328,13
Toxic Vision,72150,20
Dan + Shay,71956,13
Oscar Peterson,71950,16
Tacos City,71932,12
Mamboland,71729,5
Bizzle,71375,19
Home Town,71140,14
Sea-Doo,71086,16
Hannah House Native American Outreach,70888,9
Swolenormous,70881,3
Joby Bach Official,70778,17
Martin Vachon,70750,14
Brad Wall,70712,19
Destination Ontario,70668,12
Cape Shore Memes,70648,24
The Lovable Moon Witch,70626,19
Idle No More,70457,15
Solid Lee Minho Philippines,70417,7
Madison Beer,70392,14
L'heure juste du camionneur,70386,20
Sarah Baeumler,70316,24
Red Heart Yarns,70078,12
Fred Pellerin,69804,3
Awale Adan,69667,17
Said Rageah,69608,7
City and Colour,69579,12
Skratch Bastid,69576,16
Josée Lavigueur,69555,17
Dan Bigras - Page officielle,69464,8
"Radio X - CHOI 98,1",69452,11
The London Free Press,69452,19
VOCM,69324,19
Souldia,69324,13
Los Consejos de la Abuela,69270,19
Innervoice by ਸ਼ਰਨਕੌਰ,69249,3
Hira Singh Fateh,69238,19
J’aime Kamsar,69075,20
Göktürk Yuvası,69009,7
Kayla Brianna,68880,15
Still Standing,68849,15
Festival d'été de Québec,68841,7
Haiticité,68432,23
Green Party of Canada,68358,15
La cuisine de Jean-Philippe,68294,14
Rishi Dhillon,68267,21
Voice of Persia,68070,15
Drywall Nation,68054,8
Lanaberry,68023,17
المنتدى العربي لاطباء الاسنان,67904,16
Heartland on CBC,67883,7
92.9 The Bull,67736,16
HONNE,67675,15
Hockey Canada,67488,12
NHL News Updates,67442,14
Bonheur et santé,67263,23
Instant Weather Ontario,67112,17
Gino Hard,66966,8
Yukon Quest,66912,18
Synvain Rénove,66863,12
Centre Médical Diamant - Kinshasa,66829,4
Chicago,66658,15
CTV Regina,66482,18
François Lemay,66346,16
My Chennai,66250,25
Niagara Parks,66224,12
Spotted N'importe Quoi,66218,17
DAD CORE,66062,12
Lisapo ya Kama-Histoire Africaine,65908,19
"IGA, Vive la bouffe",65849,9
La Petite Vie,65831,12
Like Moi,65775,5
Home Cooked Recipes,65762,21
A Bucci • Wildlife Photography Tours and Printing,65664,16
Robin Hood Baking Family,65656,9
DrakeFeelings,65635,1
Royal Canadian Mounted Police,65513,12
Teklu Temesgen,65236,17
Stephen Voyce,65093,13
Spencer Fernando,65068,21
Chicago Bears Nation,64998,16
Roy Ziv,64853,1
About Islam,64560,20
Dartmouth Crossing,64403,13
The Jim Cuddy Band,64384,5
Veux-Tu Rire?,64306,19
Random Randomness. Memes,64304,11
Dr. Peter Dobias - Natural Healing for Dogs,64252,7
Whiskey Darling Boutique,64127,21
Ketamine’d,64115,19
Grumpy Aliens Korea,64033,3
Alberta Health Services,63989,13
Parenting Memes,63978,21
Drôle de Bazar,63948,13
Jamie Jones,63896,16
Pittsburgh Penguins Fans Unite,63878,18
Sam Breton,63826,5
Lil Snupe,63785,2
Jessica Wilde,63718,23
Global Toronto,63659,13
Workneh Gebeyehu,63540,17
QC Lifestyle,63458,22
NHL Memes,63454,19
SUDS Full Service Car Wash,63436,24
Global Winnipeg,63387,18
Bombing Science,63210,20
No Frills,63196,10
Hanna Yohannes,63188,8
Mathieu Lacombe - Député de Papineau à l'Assemblée nationale du Québec,63182,13
Office du tourisme de Québec,63162,14
نغمات السماء,63126,11
Étienne Drapeau,62946,13
Black Tiger Sex Machine,62924,15
Edmonton Journal,62829,18
Government of New Brunswick,62812,17
Shopify,62709,13
Showhome Furniture,62535,5
Skrillex,62532,5
Spa & Hôtel le Finlandais,62504,3
CHEZ 106,62485,20
"Bear With Us Centre for Bears - Rehabilitation, Education, Sanctuary",62375,23
Auberge du Lac Taureau,61981,11
OFW Tambayan Ng Mga Pusong Ligaw,61862,7
Sports Memes,61813,11
Farah Dhukai,61689,10
La Tribune,61562,15
Lil Skies,61502,7
Proud To Be A Catholic,61401,4
We Love Chan Myae Maung Cho,61312,23
الجالية الجزائرية في الغربة,61301,18
Corb Lund,61292,13
LUS Brands,61099,9
Shannon Stubbs,61089,16
Lianne La Havas,61032,13
Canadian Sheepdog,60978,5
International Ice Hockey Federation (IIHF),60728,12
Harley Davidson V-Rod,60708,15
100 Huntley Street,60394,4
Miss Shelton,60325,11
Canadian Arabs,60297,16
NL Proud,60260,14
cartoonbrew.com,60221,9
Shaun Johnston,60179,19
Canadian Pride,60109,12
"Hon. Candice Bergen, MP",60102,15
LactanciaMitos,60081,16
The Beard Struggle,60051,12
Manulife,59842,2
César Lucha,59837,2
Ubisoft Canada,59705,9
Ski-Doo,59503,12
Ray's Funny Page,59498,13
Daniel Melançon,59453,14
سفير اﻻحزان,59422,13
"96,9 CKOI",59372,14
Dr. John Haggie,59363,12
BlacktipH,59333,4
Charles McVety,59275,11
Refuge animal,59235,17
Vendetta Soundz,59218,17
La Mafia Trans,59218,10
Cégep de l'Abitibi-Témiscamingue,59072,2
SickKids Foundation,59005,7
P.K. Subban,58938,15
Queens of Sass,58827,21
Budo Brothers,58762,8
Sharief Elfehail : شريف الفحيل,58716,13
Sarah Blackwood,58641,11
Soutien aux Policiers Québec / Canada,58587,10
Lendemain de veille,58582,15
JEFF BROWN,58493,20
Embelta,58474,17
Wendi Mak,58464,7
QuébecBio,58440,13
70000tons,58419,11
Téléjournal Acadie,58401,13
Wing Chun News,58331,13
The Dahlia Expert,58273,5
Shitpost:76,58234,14
Scotiabank Futbol Club,58176,3
Fashionforchurch,58091,16
Celluloid Heroes,57961,18
Appealing cities and comfy places to live,57924,14
ShaykhFaisal,57862,22
Manitoba,57847,18
Slice,57835,14
Hairstyles And More,57744,5
Grandmother's Kitchen,57719,10
66Samus,57691,8
Jayla Darden,57677,1
Royal Canadian Mounted Police in Newfoundland and Labrador,57453,9
كلام مفيد,57438,14
Le Biscuit Chinois,57380,19
Virtual DJ,57296,9
The Martial Way,57187,12
NTV News,57150,16
Edmonton Police Service,56965,9
The Pretty Reckless,56769,11
Ray William Johnson,56707,12
Giant Tiger,56675,9
Nicola Gratteri,56571,13
Julie Bélanger,56498,16
Parenting From The Heart,56480,4
DEBOSS GARAGE,56468,8
Lush Cosmetics North America,56365,12
Seniors Lifestyle Magazine,56324,12
Rosalie Vaillancourt,56261,7
UNICEF Canada,56153,7
François Pérusse,56047,9
Queensway Carleton Hospital and Foundation,55917,12
Ontario Provincial Police - West Region,55773,10
Chris Evans Universe,55740,21
National Police Federation,55727,11
Robin Sharma,55612,15
Canadian Heroes,55581,12
Virgin Radio London Canada,55458,15
Gymnastique Québec,55411,5
Kitco NEWS,55374,1
ፈለገ አባይ ዳኜ የ Abyssinia,55338,11
KaseMe,55306,8
LYDIA VEYI / Femmes De Distinction,55275,14
Vintage Belle Broken China Jewelry,55254,14
TheThings,55238,17
Pupflix,55132,6
Anouk Meunier,55057,8
BMW Canada,54988,14
Siavash Ghomayshi,54972,14
Anis Farooqui,54861,3
Spotted: Montreal,54807,9
SnowSeekers,54737,1
Chelsie Young,54728,11
ShirtPunch,54723,12
